"Pytanie";"Odpowied? A";"Odpowied? B";"Odpowied? C";"Odpowied? D";"Poprawna odpowied?"
"Jak nazywa si? b?g pogody, piorun?w i ma??e?stwa?";"A: Fjord";"B: Thor";"C: Frey";"D: Odyn";"B"
"Czym w rzeczywisto?ci by? kot Uthgardlokiego?";"A: wielkim w??em";"B: olbrzymem";"C: Alfem";"D: po prostu kotem";"A"
"Kto by? matk? Sleipnirra, wierzchowca Odyna?";"A: Besla";"B: Ungbroda";"C: Loki";"D: Odyn";"C"
"Kt?ry z bog?w mia? tylko jedno ucho?";"A: Heimdallr";"B: Ullr";"C: Odyn";"D: Bragi";"A"
"Czym wy??cznie ?ywi? si? Odyn?";"A: wilczym mi?sem";"B: krwi? poleg?ych";"C: winem";"D: miodem pitnym";"D"
"Ile dni trwa podr?? z Asgardu do kr?lestwa Hel?";"A: 1 dzie?";"B: 1 rok";"C: od zachodu do wschodu s?o?ca";"D: 9 dni";"D"
"Z czego zrobiona by?a bro?, kt?ra zabi?a Baldra?";"A: z jemio?y";"B: z ?elaza wytopionego przez Svartalfy";"C: z lodu";"D: z ognia";"A"
"Co oznacza Bolverk, jedno z imion Odyna?";"A: jednooki";"B: zmiennokszta?ny";"C: czyni?cy z?o";"D: zwyci?zki";"C"
"Jaka wi?? ??czy?a Odyna z Lokim?";"A: braterstwo krwi";"B: byli przyrodnimi bra?mi";"C: ojciec i syn";"D: Loki by? pierwotnie zak?adnikiem Odyna";"A"
"Kt?re z wymienionych zwierz?t NIE by?o kojarzone z Odynem?";"A: ko?";"B: wilk";"C: kruk";"D: dzik";"D"
"Odpowiednikiem kt?rych postaci z mitologii greckiej by?y Norny?";"A: Moiry";"B: Furie";"C: Muzy";"D: Gorgony";"A"
"Jakim gatunkiem drzewa by? Yggdrasil?";"A: jesion";"B: d?b";"C: grab";"D: jab?o?";"A"
"Kt?re z wymienionych zwierz?t nie ci?gn??o wozu ?adnego z bog?w?";"A: kozio?";"B: kot";"C: jele?";"D: dzik";"C "
"Kt?ry z wymienionych nie by? dzieckiem Lokiego?";"A: wilk Fenris";"B: Jormungand - w?? ?wiata";"C: Sleipnir - ko? Odyna";"D: Surtur - ognisty olbrzym";"D"
"Kim w rzeczywisto?ci by?a Elle, kt?ra pokona?a w zapasach Thora?";"A: staro?ci?";"B: chorob?";"C: skalist? g?r?";"D: rzek?";"A"
"Kim oryginalnie by? Gandalf, kt?rego imi? zapo?yczy? p??niej Tolkien?";"A: Asem (Aesir)";"B: kar?em (Dverg/Svartalfr)";"C: elfem (Alfr)";"D: bogiem z rodu Wan?w (Vanir)";"B"
"Czyim ojcem by? Njord?";"A: Magni i Mani";"B: Willi i We";"C: Frey i Freya";"Widar i Wali";"C"
"Kt?ry ze sk?adnik?w NIE zosta? u?yty do wykucia Gleipnira - ?a?cucha p?taj?cego wilka Fenrisa?";"A: odg?os kocich krok?w";"B: oddech ryby";"C: kobieca broda";"D: skrzyd?a w??a";"D "
"Z czego zrobiony by? mi?d poezji?";"A: daj?cych m?odo?? jab?ek boginii Idun";"B: krwi kar?a (Dverg) Kwasira";"C: z?ota";"D: ?ywicy Yggdrasila";"B"
"Kt?ra z bogi? zbiera w swoim dworze po?ow? z poleg?ych na polu bitwy?";"A: Frigga";"B: Skadi";"C: Sif";"D: Freya";"D"
